p_date,ticker_code,EPS_Q_EST,REV_Q_EST,EPS_A_EST,REV_A_EST,EPS_Q_EST_FP,REV_Q_EST_FP,EPS_A_EST_FP,REV_A_EST_FP,EPS_LT,PRICE_LT,REV_Q_ACT,NI_Q_ACT,REV_A_ACT,NI_A_ACT,ACT_CLOSE_PRICE,ACT_OPEN_PRICE,ACT_HIGH_PRICE,ACT_LOW_PRICE,ACT_VOLUME
2/7/18,GOOGL,8.33186325,33059.70833,57.050095,145914.1667,0,0,0,0,19.329362,1279.27907,22433.25,4869.5,111024,12662,1055.41,1084.97,1086.53,1054.62,2597.094
2/8/18,GOOGL,8.33186325,33059.70833,57.050095,145914.1667,0,0,0,0,19.329362,1279.27907,22433.25,4869.5,111024,12662,1007.71,1059.87,1063.93,1004.7,3339.601
2/9/18,GOOGL,8.33186325,33059.70833,57.050095,145914.1667,0,0,0,0,19.329362,1279.27907,22433.25,4869.5,111024,12662,1046.27,1025.88,1051.72,997,4917.97
2/12/18,GOOGL,8.33186325,33059.70833,41.50096,106748.8235,0,0,43465,43465,19.329362,1279.27907,22433.25,4869.5,111024,12662,1054.56,1056.67,1065.57,1045.49,2812.011
2/13/18,GOOGL,8.33186325,33059.70833,41.50096,106748.8235,0,0,0,0,19.329362,1279.27907,22433.25,4869.5,111024,12662,1054.14,1050,1061.22,1046.92,1579.258
2/14/18,GOOGL,8.33186325,33059.70833,41.50096,106748.8235,0,0,43465,43465,19.329362,1279.27907,22433.25,4869.5,111024,12662,1072.7,1054.32,1075.47,1049.8,2065.202
2/15/18,GOOGL,8.33186325,33059.70833,41.50096,106748.8235,0,0,0,0,19.329362,1279.27907,22433.25,4869.5,111024,12662,1091.36,1083.45,1094.1,1067.23,1869.763
2/16/18,GOOGL,8.33186325,33059.70833,41.50096,106748.8235,0,0,0,0,19.329362,1279.27907,22433.25,4869.5,111024,12662,1095.5,1093.38,1108.31,1091.55,1997.405
2/20/18,GOOGL,8.33186325,33059.70833,48.654644,125273.8438,0,0,43830,43830,19.329362,1282.651163,22433.25,4869.5,111024,12662,1103.59,1092.76,1116.29,1090,1687.656
2/21/18,GOOGL,8.33186325,33059.70833,48.654644,125273.8438,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1113.75,1109.1,1136.2,1107.51,2074.321
2/22/18,GOOGL,8.33186325,33059.70833,48.654644,125273.8438,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1109.9,1119.17,1125.46,1105.15,1400.536
2/23/18,GOOGL,8.33186325,33059.70833,48.654644,125273.8438,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1128.09,1118.66,1129,1108.437,1264.638
2/26/18,GOOGL,8.33186325,33059.70833,48.654644,125273.8438,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1143.7,1131.86,1144.2,1129.34,1545.619
2/27/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,43830,43830,19.329362,1282.651163,22433.25,4869.5,111024,12662,1117.51,1143.7,1144.25,1116.79,2148.159
2/28/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1103.92,1122,1127.65,1103,2464.619
3/1/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1071.41,1109.54,1111.273,1067.285,2766.856
3/2/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1084.14,1057.98,1086.89,1050.11,2508.145
3/5/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1094.76,1078.13,1101.18,1072.27,1432.369
3/6/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1100.9,1102.103,1105.63,1094.5,1169.068
3/7/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1115.04,1092.82,1116.2,1089.91,1537.429
3/8/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1129.38,1117.2,1131.44,1117.2,1693.133
3/9/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1160.84,1139.5,1161,1134.29,2133.087
3/12/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1165.93,1165.05,1178.16,1159.2,2215.304
3/13/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1139.91,1171.83,1178,1134.57,2156.999
3/14/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1148.89,1145.8,1159.76,1142.35,2093.482
3/15/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1150.61,1149.57,1162.5,1135.66,1669.094
3/16/18,GOOGL,8.33186325,33059.70833,48.643277,126211.9394,0,0,0,0,19.329362,1282.651163,22433.25,4869.5,111024,12662,1134.42,1155.35,1156.81,1131.36,2932.759
3/19/18,GOOGL,8.33186325,33059.70833,57.050095,164574.8333,0,0,44196,44561,19.076414,1282.651163,22433.25,4869.5,111024,12662,1100.07,1117.76,1119.37,1088.92,3182.796
3/20/18,GOOGL,8.33186325,33059.70833,57.050095,164574.8333,0,0,0,0,19.076414,1282.651163,22433.25,4869.5,111024,12662,1095.8,1098.4,1105.55,1082.42,2729.857
3/21/18,GOOGL,8.33186325,33059.70833,57.050095,164574.8333,0,0,0,0,19.076414,1282.651163,22433.25,4869.5,111024,12662,1094,1092.57,1108.7,1087.21,2244.865
3/22/18,GOOGL,8.33186325,33059.70833,57.050095,164574.8333,0,0,0,0,19.076414,1282.651163,22433.25,4869.5,111024,12662,1053.15,1080.01,1083.92,1049.64,3465.608
3/23/18,GOOGL,8.33186325,33059.70833,57.050095,164574.8333,0,0,0,0,19.076414,1282.651163,22433.25,4869.5,111024,12662,1026.55,1051.37,1066.78,1024.87,2493.971
3/26/18,GOOGL,8.33186325,33059.70833,48.616182,164574.8333,0,0,43830,0,19.076414,1282.651163,22433.25,4869.5,111024,12662,1054.09,1050.6,1059.27,1010.58,3299.151
3/27/18,GOOGL,8.33186325,33059.70833,48.616182,164574.8333,0,0,0,0,19.076414,1282.651163,22433.25,4869.5,111024,12662,1006.94,1063.9,1064.54,997.62,3040.809
3/28/18,GOOGL,8.33186325,33059.70833,48.616182,164574.8333,0,0,0,0,19.076414,1282.651163,22433.25,4869.5,111024,12662,1005.18,1001.91,1024.99,984,3884.943
3/29/18,GOOGL,8.33186325,33059.70833,48.616182,164574.8333,0,0,0,0,19.076414,1281.023256,22433.25,4869.5,111024,12662,1037.14,1011.21,1048.05,1004.04,3466.876
4/2/18,GOOGL,8.33186325,33059.70833,48.616182,164574.8333,0,0,0,0,19.076414,1281.023256,22433.25,4869.5,111024,12662,1012.63,1027.62,1039.53,994.25,3253.387
4/3/18,GOOGL,8.33186325,33059.70833,48.616182,164574.8333,0,0,0,0,19.076414,1281.023256,22433.25,4869.5,111024,12662,1018.68,1016.15,1025,997.245,2566.146
4/4/18,GOOGL,8.33186325,33059.70833,48.616182,164574.8333,0,0,0,0,19.076414,1281.023256,22433.25,4869.5,111024,12662,1029.71,998.23,1032.74,996.51,2536.198
4/5/18,GOOGL,8.33186325,33059.70833,48.616182,164574.8333,0,0,0,0,19.076414,1281.023256,22433.25,4869.5,111024,12662,1032.64,1046.39,1046.71,1024,1791.761
4/6/18,GOOGL,8.33186325,33059.70833,56.8206,146328.2353,0,0,44196,44196,19.076414,1281.023256,22433.25,4869.5,111024,12662,1009.95,1023.1,1036,1006.25,2006.683
4/9/18,GOOGL,8.33186325,33059.70833,56.8206,146328.2353,0,0,44196,0,19.076414,1281.023256,22433.25,4869.5,111024,12662,1020.09,1020.04,1044.59,1019.2,1661.012
4/10/18,GOOGL,8.33186325,33059.70833,56.8051,146328.2353,0,0,44196,0,19.076414,1280.44186,22433.25,4869.5,111024,12662,1036.5,1030.26,1041.21,1015.41,1836.678
4/11/18,GOOGL,8.33186325,33059.70833,48.593713,107654.303,0,0,43830,43465,19.076414,1280.44186,22433.25,4869.5,111024,12662,1025.06,1032,1035.87,1019.2,1703.015
4/12/18,GOOGL,8.33186325,33059.70833,48.593713,107654.303,0,0,0,0,19.076414,1280.44186,22433.25,4869.5,111024,12662,1037.29,1031.47,1044.65,1026.05,1644.794
4/13/18,GOOGL,8.33186325,33059.70833,56.838486,146597.9444,0,0,44196,44196,20.33915,1281.488372,22433.25,4869.5,111024,12662,1036.04,1046.89,1052.98,1030.15,1270.461
